Id,Label,Type,Tags,Rating,Title
2095-J,2095-J,Problem,*special,,Premiere at a Wrong Time
2095-I,2095-I,Problem,"*special,expression parsing,number theory",,Mysterious Script
2095-H,2095-H,Problem,"*special,fft,math",,Blurry Vision
2095-G,2095-G,Problem,"*special,geometry",,Definitely a Geometry Problem
2095-F,2095-F,Problem,"*special,math",,⅓ оf а Рrоblеm
2095-E,2095-E,Problem,"*special,number theory",,Pair Count
2095-D,2095-D,Problem,"*special,geometry",,Where Am I?
2095-C,2095-C,Problem,"*special,binary search,brute force",,Would It Be Unrated?
2095-B,2095-B,Problem,"*special,games,interactive",,Plinko
2095-A,2095-A,Problem,"*special,string suffix structures",,Piecing It Together
2093-G,2093-G,Problem,"binary search,bitmasks,brute force,data structures,dfs and similar,greedy,strings,trees,two pointers",,Shorten the Array
2093-F,2093-F,Problem,"bitmasks,brute force,greedy",,Hackers and Neural Networks
2093-E,2093-E,Problem,"binary search,brute force,greedy",,Min Max MEX
2093-D,2093-D,Problem,"bitmasks,implementation",,Skibidi Table
2093-C,2093-C,Problem,"math,number theory",,Simple Repetition
2093-B,2093-B,Problem,"greedy,math",,Expensive Number
2093-A,2093-A,Problem,math,,Ideal Generator
2092-F,2092-F,Problem,"brute force,constructive algorithms,greedy,math,number theory,strings",2900,Andryusha and CCB
2092-E,2092-E,Problem,"combinatorics,constructive algorithms,graphs,math",2100,She knows...
2092-D,2092-D,Problem,"brute force,constructive algorithms,greedy,implementation,strings",1800,Mishkin Energizer
2092-C,2092-C,Problem,"constructive algorithms,greedy,math",1200,Asuna and the Mosquitoes
2092-B,2092-B,Problem,"brute force,constructive algorithms,implementation,math",1000,Lady Bug
2092-A,2092-A,Problem,"greedy,math,number theory,sortings",800,Kamilka and the Sheep
2091-G,2091-G,Problem,"brute force,constructive algorithms,data structures,dp,graphs,greedy,math,number theory,shortest paths",2300,Gleb and Boating
2091-F,2091-F,Problem,"binary search,brute force,dp",1800,Igor and Mountain
2091-E,2091-E,Problem,"brute force,math,number theory,two pointers",1300,Interesting Ratio
2091-D,2091-D,Problem,"binary search,greedy,math",1200,Place of the Olympiad
2091-C,2091-C,Problem,"constructive algorithms,greedy",1000,Combination Lock
2091-B,2091-B,Problem,"dp,greedy,sortings",800,Team Training
2091-A,2091-A,Problem,"greedy,strings",800,Olympiad Date
2090-C,2090-C,Problem,"data structures,greedy,implementation,sortings",1700,Dining Hall
2090-B,2090-B,Problem,"brute force,dp,implementation",1000,Pushing Balls
2090-A,2090-A,Problem,"implementation,math",800,Treasure Hunt
2089-E,2089-E,Problem,,3500,Black Cat Collapse
2089-D,2089-D,Problem,constructive algorithms,3200,Conditional Operators
2089-C2,2089-C2,Problem,"dp,math,probabilities",3100,Key of Like (Hard Version)
2089-C1,2089-C1,Problem,"dp,games,math,probabilities",2200,Key of Like (Easy Version)
2089-B2,2089-B2,Problem,"binary search,data structures,dp,flows,greedy,two pointers",2300,Canteen (Hard Version)
2089-B1,2089-B1,Problem,"binary search,data structures,flows,greedy,two pointers",1900,Canteen (Easy Version)
2089-A,2089-A,Problem,"constructive algorithms,number theory",1700,Simple Permutation
2087-I,2087-I,Problem,"*special,*special",,Hamiltonian Partition
2087-H,2087-H,Problem,"*special,*special",,Nim with Special Numbers
2087-G,2087-G,Problem,"*special,*special,greedy,greedy",,Esports in Berland
2087-F,2087-F,Problem,"*special,*special,dp,dp",,Weapon Upgrade
2087-E,2087-E,Problem,"*special,*special,dp,dp",,Color the Arrows
2087-D,2087-D,Problem,"*special,*special,interactive",,Uppercase or Lowercase?
2087-C,2087-C,Problem,"*special,greedy",,Coin Game
2087-B,2087-B,Problem,*special,,Showmatch
2087-A,2087-A,Problem,*special,,Password Generator
2086-F,2086-F,Problem,"brute force,constructive algorithms,interactive",,Online Palindrome
2086-E,2086-E,Problem,"bitmasks,brute force,constructive algorithms,dfs and similar,dp,greedy,math",,Zebra-like Numbers
2086-D,2086-D,Problem,"brute force,combinatorics,dp,math,strings",,Even String
2086-C,2086-C,Problem,"dfs and similar,dp,dsu,graphs,greedy,implementation",,Disappearing Permutation
2086-B,2086-B,Problem,"binary search,brute force,greedy",,Large Array and Segments
2086-A,2086-A,Problem,math,,Cloudberry Jam
2085-F2,2085-F2,Problem,"data structures,greedy",2900,Serval and Colorful Array (Hard Version)
2085-F1,2085-F1,Problem,"data structures,greedy",2600,Serval and Colorful Array (Easy Version)
2085-E,2085-E,Problem,"constructive algorithms,math,number theory",2200,Serval and Modulo
2085-D,2085-D,Problem,"data structures,graph matchings,greedy",2000,Serval and Kaitenzushi Buffet
2085-C,2085-C,Problem,"bitmasks,constructive algorithms,dp,greedy",1600,Serval and The Formula
2085-B,2085-B,Problem,"constructive algorithms,implementation",1200,Serval and Final MEX
2085-A,2085-A,Problem,"constructive algorithms,implementation",900,Serval and String Theory
2084-H,2084-H,Problem,"dp,greedy",,Turtle and Nediam 2
2084-G2,2084-G2,Problem,"data structures,dp",,Wish Upon a Satellite (Hard Version)
2084-G1,2084-G1,Problem,"dp,games",,Wish Upon a Satellite (Easy Version)
2084-F,2084-F,Problem,"constructive algorithms,data structures,greedy",,Skyscape
2084-E,2084-E,Problem,"binary search,brute force,combinatorics,dp,fft,implementation,math",,Blossom
2084-D,2084-D,Problem,"binary search,brute force,constructive algorithms,greedy,math",,Arcology On Permafrost
2084-C,2084-C,Problem,"constructive algorithms,data structures,greedy,implementation",,You Soared Afar With Grace
2084-B,2084-B,Problem,"greedy,math,number theory",,MIN = GCD
2084-A,2084-A,Problem,"constructive algorithms,math",,Max and Mod
2082-B,2082-B,Problem,"brute force,greedy",1600,Floor or Ceil
2082-A,2082-A,Problem,"constructive algorithms,greedy",800,Binary Matrix
2081-G2,2081-G2,Problem,math,3400,Hard Formula (Hard Version)
2081-G1,2081-G1,Problem,"math,number theory",3100,Hard Formula
